card_code,qr_url
GEQO-NP3S2N,https://mygeqo.com/claim?card=GEQO-NP3S2N
GEQO-D0DQFR,https://mygeqo.com/claim?card=GEQO-D0DQFR
GEQO-FWOVJH,https://mygeqo.com/claim?card=GEQO-FWOVJH
GEQO-V00FZU,https://mygeqo.com/claim?card=GEQO-V00FZU
GEQO-N15FGX,https://mygeqo.com/claim?card=GEQO-N15FGX
GEQO-WYLU3F,https://mygeqo.com/claim?card=GEQO-WYLU3F
GEQO-JKUJN8,https://mygeqo.com/claim?card=GEQO-JKUJN8
GEQO-VFYPKH,https://mygeqo.com/claim?card=GEQO-VFYPKH
GEQO-5M6YXN,https://mygeqo.com/claim?card=GEQO-5M6YXN
GEQO-L6HUXC,https://mygeqo.com/claim?card=GEQO-L6HUXC
GEQO-W5FH8O,https://mygeqo.com/claim?card=GEQO-W5FH8O
GEQO-WG602H,https://mygeqo.com/claim?card=GEQO-WG602H
GEQO-B50NP7,https://mygeqo.com/claim?card=GEQO-B50NP7
GEQO-0AKTM9,https://mygeqo.com/claim?card=GEQO-0AKTM9
GEQO-NP3L31,https://mygeqo.com/claim?card=GEQO-NP3L31
GEQO-K1O7VC,https://mygeqo.com/claim?card=GEQO-K1O7VC
GEQO-NZEMD9,https://mygeqo.com/claim?card=GEQO-NZEMD9
GEQO-18XM5P,https://mygeqo.com/claim?card=GEQO-18XM5P
GEQO-XDVQT9,https://mygeqo.com/claim?card=GEQO-XDVQT9
GEQO-CCSWP5,https://mygeqo.com/claim?card=GEQO-CCSWP5
GEQO-0GEVUC,https://mygeqo.com/claim?card=GEQO-0GEVUC
GEQO-DMEL99,https://mygeqo.com/claim?card=GEQO-DMEL99
GEQO-2T11IL,https://mygeqo.com/claim?card=GEQO-2T11IL
GEQO-DMSL6Z,https://mygeqo.com/claim?card=GEQO-DMSL6Z
GEQO-AXBJP9,https://mygeqo.com/claim?card=GEQO-AXBJP9
GEQO-HELWYA,https://mygeqo.com/claim?card=GEQO-HELWYA
GEQO-5K0K5V,https://mygeqo.com/claim?card=GEQO-5K0K5V
GEQO-J98TT7,https://mygeqo.com/claim?card=GEQO-J98TT7
GEQO-5G7CF3,https://mygeqo.com/claim?card=GEQO-5G7CF3
GEQO-PHTCL3,https://mygeqo.com/claim?card=GEQO-PHTCL3
GEQO-MWHHON,https://mygeqo.com/claim?card=GEQO-MWHHON
GEQO-O81BZP,https://mygeqo.com/claim?card=GEQO-O81BZP
GEQO-OY1PBC,https://mygeqo.com/claim?card=GEQO-OY1PBC
GEQO-FIKCRH,https://mygeqo.com/claim?card=GEQO-FIKCRH
GEQO-WW6QX4,https://mygeqo.com/claim?card=GEQO-WW6QX4
GEQO-OEVHHE,https://mygeqo.com/claim?card=GEQO-OEVHHE
GEQO-4BVYED,https://mygeqo.com/claim?card=GEQO-4BVYED
GEQO-FTP9D1,https://mygeqo.com/claim?card=GEQO-FTP9D1
GEQO-F6U7QP,https://mygeqo.com/claim?card=GEQO-F6U7QP
GEQO-IH3BAU,https://mygeqo.com/claim?card=GEQO-IH3BAU
GEQO-7T40YH,https://mygeqo.com/claim?card=GEQO-7T40YH
GEQO-6T2QN1,https://mygeqo.com/claim?card=GEQO-6T2QN1
GEQO-D9PAFO,https://mygeqo.com/claim?card=GEQO-D9PAFO
GEQO-UQD4SW,https://mygeqo.com/claim?card=GEQO-UQD4SW
GEQO-55TI43,https://mygeqo.com/claim?card=GEQO-55TI43
GEQO-V0MEK6,https://mygeqo.com/claim?card=GEQO-V0MEK6
GEQO-JLJDX9,https://mygeqo.com/claim?card=GEQO-JLJDX9
GEQO-XJG4L3,https://mygeqo.com/claim?card=GEQO-XJG4L3
GEQO-CC95NE,https://mygeqo.com/claim?card=GEQO-CC95NE
GEQO-82VP14,https://mygeqo.com/claim?card=GEQO-82VP14
